City,Country,Latitude,Longitude,High Temperature,Humidity,Cloud Coverage,Wind Speed
Kavaratti,IN,10.57,72.64,85.46,98,0,11.32
Sao Miguel do Araguaia,BR,-13.28,-50.16,85.73,85,24,4.5
Hilo,US,19.71,-155.08,66.99,72,75,8.97
Saint George,GR,39.45,22.34,57.2,82,75,3.27
Fort Nelson,CA,58.81,-122.69,24.8,85,90,2.24
San Ramon,NI,12.92,-85.84,77.0,50,20,3.49
Bud,NO,62.91,6.91,46.4,94,20,8.05
Vostok,RU,46.45,135.83,24.44,90,80,2.04
Jaru,BR,-10.43,-62.48,75.02,82,88,4.38
Humaita,AR,-24.93,-65.37,68.0,45,0,2.93
Gorontalo,ID,0.54,123.06,73.13,94,8,2.48
Portland,US,45.52,-122.67,48.2,87,90,13.87
Komsomolskiy,RU,67.55,63.78,26.6,88,80,22.5
Garowe,SO,8.41,48.48,78.17,43,0,12.21
Hobart,AU,-42.88,147.33,52.0,76,0,8.05
Laguna,MX,27.52,-110.01,68.0,60,5,5.82
Martapura,ID,-3.41,114.85,78.8,100,36,2.24
Perth,GB,56.4,-3.43,46.0,100,90,16.11
Bilibino,RU,68.06,166.44,5.0,89,8,2.93
Tuatapere,NZ,-46.13,167.69,37.0,89,0,4.38
Okhotsk,RU,59.36,143.24,30.47,78,68,5.95
Ardakan,IR,32.31,54.02,66.2,42,20,13.87
Mogadishu,SO,2.04,45.34,83.3,100,0,13.44
Grindavik,IS,63.84,-22.43,42.8,100,90,12.75
Kabwe,ZM,-14.44,28.44,75.92,55,76,6.4
Bethel,US,60.79,-161.76,23.0,92,90,5.82
Lompoc,US,34.64,-120.46,64.99,76,1,3.49
Aurangabad,IN,19.87,75.33,79.43,29,0,9.19
Carbonia,IT,39.17,8.53,54.0,87,75,14.99
Chokurdakh,RU,70.62,147.9,14.45,84,88,7.85
Road Town,VG,18.42,-64.62,82.4,61,40,13.87
Salalah,OM,17.01,54.1,82.4,74,20,8.05
Vardo,US,39.62,-77.74,62.01,66,1,3.38
Kuala Terengganu,MY,5.33,103.14,80.42,100,68,6.29
Gravdal,NO,59.79,5.78,57.0,81,0,14.99
Camacha,PT,33.08,-16.33,66.2,68,40,20.8
Sao Joao da Barra,BR,-21.64,-41.05,95.0,41,40,6.93
